year,zipcode,district,safe_day,safe_night,household_size,cleanliness
2019,94112,11.0,4.0,2.0,6.0,3.3333333333333335
2019,0,4.0,4.0,2.0,1.0,4.0
2019,0,,5.0,2.0,2.0,3.6666666666666665
2019,0,4.0,4.0,3.0,6.0,3.0
2019,94132,7.0,4.0,3.0,3.0,5.0
2019,94134,10.0,4.0,1.0,0.0,1.6666666666666667
2019,94117,6.0,5.0,5.0,2.0,3.0
2019,94122,3.0,4.0,4.0,3.0,3.0
2019,94131,8.0,5.0,4.0,1.0,4.0
2019,94116,4.0,5.0,5.0,4.0,3.6666666666666665
2019,94116,8.0,5.0,5.0,3.0,3.0
2019,94158,6.0,4.0,,2.0,1.6666666666666667
2019,94129,2.0,5.0,4.0,2.0,4.333333333333333
2019,94109,5.0,5.0,4.0,2.0,2.6666666666666665
2019,94117,5.0,4.0,4.0,3.0,3.0
2019,94131,7.0,5.0,5.0,2.0,3.0
2019,94116,7.0,5.0,4.0,2.0,4.0
2019,94122,4.0,5.0,5.0,3.0,4.0
2019,94107,6.0,3.0,3.0,3.0,1.0
2019,94107,6.0,5.0,3.0,4.0,3.3333333333333335
2019,94114,5.0,5.0,3.0,3.0,4.333333333333333
2019,94109,3.0,5.0,5.0,2.0,5.0
2019,94121,1.0,4.0,4.0,3.0,2.6666666666666665
2019,94124,10.0,2.0,1.0,1.0,1.6666666666666667
2019,94114,8.0,5.0,4.0,4.0,5.0
2019,94117,8.0,5.0,5.0,2.0,5.0
2019,94112,11.0,4.0,3.0,2.0,2.0
2019,94109,2.0,2.0,1.0,2.0,3.0
2019,94103,6.0,1.0,1.0,1.0,1.0
2019,94107,6.0,5.0,4.0,2.0,2.6666666666666665
2019,94110,8.0,4.0,3.0,3.0,2.5
2019,94117,5.0,4.0,3.0,1.0,4.0
2019,94110,10.0,4.0,2.0,2.0,3.0
2019,94109,5.0,5.0,3.0,2.0,2.0
2019,94118,2.0,4.0,3.0,3.0,4.0
2019,94116,7.0,5.0,4.0,4.0,3.6666666666666665
2019,94114,8.0,5.0,4.0,2.0,4.0
2019,94112,11.0,3.0,3.0,4.0,3.0
2019,94127,7.0,5.0,3.0,1.0,4.666666666666667
2019,94131,7.0,5.0,5.0,3.0,4.0
2019,94131,8.0,5.0,5.0,1.0,3.3333333333333335
2019,94122,5.0,5.0,5.0,1.0,2.6666666666666665
2019,94127,8.0,5.0,5.0,3.0,4.333333333333333
2019,94132,7.0,4.0,3.0,4.0,2.3333333333333335
2019,94118,2.0,4.0,3.0,3.0,4.333333333333333
2019,94127,7.0,1.0,1.0,2.0,2.3333333333333335
2019,94108,3.0,4.0,3.0,5.0,4.0
2019,94122,4.0,5.0,4.0,6.0,3.3333333333333335
2019,94110,8.0,4.0,3.0,1.0,3.3333333333333335
2019,94122,5.0,5.0,5.0,1.0,4.0
2019,94121,9.0,4.0,3.0,2.0,2.6666666666666665
